,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p,32_n,32_p,33_n,33_p,34_n,34_p,35_n,35_p,36_n,36_p,37_n,37_p,38_n,38_p,39_n,39_p,40_n,40_p,41_n,41_p,42_n,42_p,43_n,43_p,44_n,44_p,45_n,45_p,46_n,46_p,47_n,47_p,48_n,48_p,49_n,49_p,50_n,50_p,51_n,51_p,52_n,52_p,53_n,53_p,54_n,54_p,55_n,55_p,56_n,56_p,57_n,57_p,58_n,58_p,59_n,59_p,60_n,60_p,61_n,61_p,62_n,62_p,63_n,63_p,64_n,64_p,65_n,65_p,66_n,66_p,67_n,67_p,68_n,68_p
65,AQP1,0.0,BCL11B,0.0,SOD1,0.0,CD37,0.0,ZFAND5,0.0,MYDGF,0.0,PDLIM1,0.0,SAMHD1,0.0,IFI30,0.0,SPARCL1,0.0,ITGA7,0.0,CAV1,0.0,JUN,4.05381707014585e-18,ANKRD28,1.2674251911957343e-161,RPS3,3.877006645847388e-181,SIGLEC6,5.9959980182073736e-297,SELENOM,0.0,SLC11A1,7.461682115022239e-303,ITGA4,5.820079994794871e-144,LSP1,1.0071036142912092e-190,KLK4,2.161300074715466e-188,KLRG1,2.8146312484774347e-157,HSPA1B,8.356405868324074e-16,SLC45A3,1.6598976579119375e-190,SPON2,0.0014671151081767876,RPL26,2.39157067206768e-145,SERPINB9,4.924699702652042e-23,RPL5,1.1008562841159391e-17,CXCL2,9.317113272529356e-23,PHLDB2,6.332497675690802e-154,SPRY1,4.4332482180755967e-13,GALNT7,1.4809711240388674e-45,OGFRL1,2.3137240433948502e-21,PPP1R1B,1.1807020046450008e-43,PCDH9,4.0409980618102083e-47,IL1B,5.819817147204667e-25,ALCAM,1.1787004341670966e-77,PPP2R5C,1.3992811573460277e-33,NUCB2,6.90785376451511e-36,TBX3,1.2987019522366584e-18,CLDN4,1.153832039930257e-32,MYL12A,7.2259563243916545e-31,CYTIP,0.0004568771684925911,BASP1,1.6069225730718935e-12,HYAL2,9.628559176859377e-27,TXN,1.9311676630051113e-10,MIPEP,1.0636821092266032e-24,CTSS,2.1000997776035052e-15,RPL38,7.281410844192009e-08,CTSZ,5.4428342627137125e-12,SLURP2,2.7585909769833323e-10,RDH11,1.832482684391669e-11,AC010624.5,6.448488978699562e-09,NES,7.832253460950013e-06,MT-ND2,7.683221916563369e-07,CLU,3.261455928343332e-05,CST3,7.449926774689971e-06,EIF4A3,1.5115558615904796e-09,GADD45G,6.41624354301467e-11,RPS26,1.3937634259223566e-07,AC010319.3,1.89201577822762e-10,ITM2B,0.00016606392790166746,MT-ATP8,0.02873386201111052,DIO2,3.334612032965966e-05,RNF19A,3.6408973990960694e-05,TMEM263,2.2234512407531793e-06,DHRS7,3.872475314909893e-05,HINT1,6.499923534123353e-08,PET100,1.7328620543953666e-05
66,HLA-DRB5,0.0,LEPROTL1,0.0,DUSP2,0.0,ARHGDIB,0.0,SPINT2,0.0,RASEF,0.0,CTSH,0.0,CD302,0.0,CCL3,0.0,AVPR1A,0.0,KANK2,0.0,BST2,0.0,PTMA,9.306621316141857e-17,FKBP11,3.693554462387656e-160,IL2RG,6.755397264155232e-181,VEGFA,2.51053106779944e-295,GPM6B,0.0,ITGAX,4.562537293790782e-301,DUSP2,1.708276435812441e-139,MAF,1.683303502405621e-187,ALOX15B,1.187811508493001e-187,LYAR,1.3690462168222742e-156,MBNL1,5.0301113738554004e-15,DSTN,9.996788993174504e-190,DDX5,0.0014679871076822009,CYBA,2.3105530233090544e-142,PPP1R15A,8.639315834572065e-23,CYB5A,1.1151949842894983e-17,C1QA,3.4086812629489792e-22,S100A16,2.372402380335608e-153,RAPGEF3,7.920910228083971e-13,PTMS,1.788083717875143e-45,CD14,2.4824351047371036e-21,TMEM101,2.3485129332218403e-43,MYOT,2.8485462854305976e-45,HSPB1,8.748705912795967e-25,ICA1,1.1968555640376011e-77,CD44,2.0393469200088434e-33,GNMT,1.5961435648484248e-35,KLK3,1.5245398594957428e-18,C15orf48,1.2754966776457174e-32,RHOJ,1.1079827871404262e-30,SRPRB,0.0004866843015207292,PLIN2,3.4994549429901633e-12,CA4,1.0166527055759809e-26,TSPAN1,2.152408252948939e-10,SMCO4,1.1389240087588125e-24,ANXA5,3.822016562470867e-15,CD69,8.215623006670056e-08,CYSTM1,8.221651242557373e-12,EZR,2.8098201352676256e-10,OGFRL1,3.2961782713685406e-11,CD83,8.767001675239942e-09,YBX1,8.514678210278744e-06,YWHAZ,9.073726482632516e-07,SAT1,3.7981951037918435e-05,HSPA6,8.490671499496819e-06,MAFB,1.7101581982501164e-09,S100A11,1.0184316436041961e-10,TRPM8,1.4474589097315185e-07,RPS8,2.342203072339013e-10,KCTD12,0.00018168354803654806,MYH11,0.03321924846204297,RDH11,3.622378952443082e-05,NR4A1,3.7322365216094535e-05,HMG20B,2.41421176093156e-06,OLR1,4.762357097466198e-05,RPS28,7.908858589702662e-08,RDH11,1.8574291608404763e-05
67,TACC1,0.0,STK4,0.0,SELENOK,0.0,KLRC1,0.0,TPM1,0.0,ACSL3,0.0,CLDN7,0.0,COTL1,0.0,CRYAB,0.0,GEM,0.0,LTBP1,0.0,JAM2,0.0,FLT1,2.0414007948211569e-16,JUND,2.2897254927786055e-159,TRBC1,5.116725821300972e-176,LAPTM5,3.2629500461723573e-295,CYP1B1,0.0,TNFAIP2,4.902688831673523e-301,HOPX,6.57463387342686e-139,JAK1,1.8635376159326336e-187,STEAP1,8.261573788913389e-185,RUNX3,5.128174015220709e-156,CASP8,7.112241756632557e-15,APLP2,7.287584063396086e-183,APOE,0.0016288459184917118,ADAM28,1.8735779337922587e-140,RPS11,1.3776243708685881e-22,TMEM141,1.2261684847081696e-16,HSPA1B,6.208413961819744e-22,ALDH1A1,1.985414787228247e-152,APOLD1,8.455934570817676e-13,HSD17B6,4.167361103108543e-45,MS4A7,9.597745100979533e-21,NPC2,3.922691281081019e-43,NDRG2,4.0183101450559173e-44,ZFAND2A,1.188392322152446e-24,CD24,1.4351911032122596e-77,TUBA4A,2.6763264492494056e-33,PPIB,1.628295752931318e-35,C9orf24,1.559326255835794e-18,P4HB,1.4037893537360804e-32,FABP4,1.5392514108380254e-30,ZBP1,0.0005004108160258095,SPARCL1,4.731117124081718e-12,C8orf59,1.0420753253358357e-26,OR51E2,3.3039974980047896e-10,SHISA9,1.5122206454405366e-24,CTSL,6.156385582744746e-15,LGALS1,8.500124871762934e-08,CTSH,8.233285893571931e-12,MTRNR2L12,2.978421661312739e-10,RRAD,3.319962205755622e-11,H2AFJ,8.95476045731317e-09,SYNPO2,9.643634827650423e-06,HLA-DRA,9.151238556307223e-07,CTSD,4.028425502502745e-05,MARCKSL1,1.106194005986281e-05,RGS2,1.7711668080451584e-09,KLK2,1.3145597676441922e-10,SMDT1,1.516319401254772e-07,BASP1,2.6568232524717994e-10,KLK3,0.0002107715684223614,MTRNR2L12,0.03517949237286186,PDLIM3,3.8741018151476694e-05,HSPH1,4.431535797879849e-05,GATA2,2.6335072875687125e-06,SDC4,4.791916422022685e-05,CKB,8.476286271538697e-08,HMG20B,1.8599430597807213e-05
68,WWTR1,0.0,TXNIP,0.0,SMAP2,0.0,APBB1IP,0.0,S100A11,0.0,BASP1,0.0,PHLDA3,0.0,ADAM28,0.0,SSR4,0.0,PTEN,0.0,MGP,0.0,FN1,0.0,IER2,2.079520697825376e-15,CCDC107,9.037332104519577e-158,ISG20,7.509512006675168e-175,CTSD,2.2085953246417705e-294,BEX3,0.0,CST3,3.750819089812604e-300,IFITM2,1.2844987956176601e-135,FXYD5,4.409522160102608e-187,PCAT4,2.7091140908413703e-184,CD53,1.6617506368833664e-153,MT-ND4L,9.1796024682833e-15,RPL41,1.1303343256883973e-180,TRBC2,0.0024099856510331535,UBA52,2.0620387064053365e-139,CXCL3,2.777811344785298e-22,HEBP2,1.2673345937306572e-16,DDX5,2.621173340370554e-21,CITED4,4.019579347630389e-152,PPP1R10,4.347528770331162e-12,ABCC4,4.579298909392063e-45,MS4A4A,2.152909663456449e-20,SLC39A2,4.764716211511424e-43,ABCA8,6.417110039311139e-43,RPL37,2.786274881929043e-24,SIM2,2.3146790069532838e-77,STK17B,3.272867161202483e-33,SPDEF,1.1659366889294402e-34,LMO7,3.0236183978103575e-18,SERHL2,1.9929538606982096e-32,CAVIN1,1.548775514011426e-30,AC012236.1,0.0005040606558113735,HSPA5,8.800982348810369e-12,ECSCR,1.0627605653299423e-26,COX6A1,3.3438744623112823e-10,TM7SF2,1.6703415829947847e-24,SERF2,8.153400406707421e-15,AMD1,9.431737224236529e-08,HES1,8.694925054533238e-12,LGALS3,5.62195514783262e-10,SOD2,3.4805272909529724e-11,TACSTD2,1.04087992258309e-08,DMD,1.6266447749745978e-05,ANXA5,1.3320940400725593e-06,C1S,4.655448588772656e-05,CD69,1.1638502917586835e-05,MBOAT2,2.284579816541347e-09,TIMP2,1.6080739734986602e-10,MYL9,1.603930393042304e-07,STEAP2,2.987671554620996e-10,AP1S2,0.0002527381559212414,SEPTIN7,0.03703523621463783,NFKBIA,4.3341528463181836e-05,SMC5,4.8655674320818e-05,NKX3-1,2.698164429791707e-06,S100A11,4.961398270329857e-05,CREB3L1,8.764674756686547e-08,CREB3L4,1.8689188723189217e-05
69,SLC9A3R2,0.0,RPL37,0.0,CALM1,0.0,GZMM,0.0,PER2,0.0,SMIM14,0.0,PLPP2,0.0,HAVCR2,0.0,ZG16B,0.0,NDRG2,0.0,YBX3,0.0,SRP14,0.0,RPL7,2.1403498088683666e-15,HSPD1,4.151338849787066e-157,SRSF7,5.836164628334882e-174,NFKBIZ,1.2331122208179763e-290,ABCA8,0.0,MARCKS,1.941950498752835e-298,PARP8,1.2713379430767423e-134,IL2RA,2.139607532242091e-186,LRRC26,1.919860446810142e-182,C12orf75,3.4149781252474554e-153,TRA2B,1.962882393047271e-14,RPL36,9.873178229778508e-179,TNFAIP3,0.0028631662536836825,BIRC3,7.648392032870786e-138,HSPE1,4.392996897880532e-22,ADIRF,1.3743833593865184e-16,TIMP3,3.511350764706785e-21,YBX3,6.529142154201601e-152,RRBP1,6.847725301953733e-12,LRRC26,1.0614970808461184e-44,TMEM176B,3.258786856501704e-20,DNAJC15,2.1536117011466203e-42,SBSPON,8.211540504139061e-42,BAG3,2.960051982377367e-24,RPS28,2.5274229460775145e-77,PDE4D,3.975849640337092e-33,FAM3B,1.7499660424226766e-34,SPATA17,3.025493149158971e-18,SERF2,2.3883857420038296e-32,FLT4,2.1247630492004474e-30,PLPP5,0.000603192401117572,CALR,1.3828630997476715e-11,INSR,1.396023514261111e-26,SERF2,4.3737337224615553e-10,SPOCK3,1.8016916986985114e-24,KLK2,1.1125619565398177e-14,RPS29,1.0322546884040731e-07,SRI,1.1691871402860628e-11,GSTP1,6.097963318633221e-10,TNF,3.658441860095591e-11,GALNT7,1.6144667211756443e-08,MYF6,2.1120715192850815e-05,CCL20,1.3570864962965054e-06,RPS28,6.095703804880065e-05,HLA-C,1.2260887959649172e-05,CXCL8,2.547666828152207e-09,TNFAIP6,1.9426155174736643e-10,GALNT7,1.776613055610516e-07,CREB3L4,3.585943808739517e-10,IER5,0.0002860688297105332,PLA2G2A,0.03948720365598832,PPDPF,4.346048625652538e-05,EGR3,4.96814781956365e-05,PLA2G2A,2.9800048401334615e-06,STMN1,5.327697318405495e-05,RDH11,1.0046193648190835e-07,GDF15,1.8957358767743065e-05
70,FKBP1A,0.0,ETS1,0.0,ZNF331,0.0,RGS2,0.0,CSNK1A1,0.0,HDLBP,0.0,MYOF,0.0,TYMP,0.0,MT1A,0.0,COL14A1,0.0,PDGFA,0.0,HLA-DRB5,0.0,S100A16,2.5902817232436813e-15,SLA,6.595997757459444e-157,TUBA4A,1.2006874256444018e-173,RPL24,2.770767714392024e-288,MXRA7,0.0,ATP6V1F,4.998452546094787e-298,RAC2,9.21219503235437e-131,IKZF2,1.7086019155940377e-185,SNHG25,1.339980543402715e-181,ETS1,6.583007668751393e-153,RESF1,1.9712735119471558e-13,ZG16B,8.566129027901032e-178,GZMK,0.004755873907851872,CD79B,8.561327817885886e-138,TNFAIP3,4.475850092171951e-22,BASP1,1.3997901515106596e-16,HLA-DQA1,6.715973168614801e-21,ACTG1,6.9166507097765954e-152,NSUN6,1.0871321909590284e-11,IFI6,1.4505276962537863e-44,PYCARD,1.1438793477481768e-19,HOXB6,2.4224549504175795e-42,PDGFA,2.71059557740991e-40,BATF3,5.241521191413083e-24,CLDN3,2.581769146991859e-77,FNBP1,4.068350894089691e-33,ALDH1A3,1.7977363547921868e-34,PERP,3.1254581462476336e-18,CST3,4.294471505431851e-32,S100A16,3.120154617868563e-30,UBE2J1,0.00065019911442263,KLK3,1.6837511472773788e-11,MMRN2,2.0477587703851728e-26,LGALS2,4.721859014050486e-10,IGFBP2,1.9138335988809747e-24,KLK3,1.2003461929310519e-14,RPL12,1.0968627902389948e-07,ARPC1B,1.2697871856998872e-11,TMSB10,6.200230548436609e-10,FTH1,4.469260988026842e-11,EGR1,2.0321237728584333e-08,RNASE1,2.318277462228016e-05,PLEK,1.378714404028013e-06,RNASEK,6.914972912068363e-05,MT-CO3,1.6253739031227896e-05,NUPR1,2.6132881787025225e-09,SERF2,2.8537754571235494e-10,SSR4,1.798792938630672e-07,UQCRQ,3.8829161261230456e-10,PLA2G2A,0.00038139373863066396,RPS6,0.04093840898259673,TMSB10,4.540949891806357e-05,SFRP1,5.347178243176616e-05,EGLN3,3.1164339235648302e-06,NKX3-1,5.699150417665567e-05,ANKRD37,1.0601214045856433e-07,TSPAN1,2.1858463683007514e-05
71,ETS2,0.0,SMAP2,0.0,CD52,0.0,HSPA6,0.0,PRDX5,0.0,KIF5C,0.0,EPCAM,0.0,FCGRT,0.0,FXYD3,0.0,CD63,0.0,KLF9,0.0,CLIC4,0.0,S100A14,3.1536987603720806e-15,SYTL3,6.68649037530486e-156,PPP2R5C,3.187924544252894e-172,PHF20,6.856572763076359e-284,C7,0.0,MT1H,5.059093268356038e-298,DOK2,5.178730082385136e-130,ARID5B,4.067130851038437e-184,KRT8,3.3086468738443153e-181,MYL12A,1.7467058086023193e-152,SPOCK2,2.6691036640705325e-12,MARCKS,2.5871150344870648e-172,CCL4,0.005226005460938923,RPL34,2.0524797750271346e-137,CXCR4,2.9753892187429346e-20,RPS6,1.4829481688401072e-16,C1QB,2.915036985181533e-20,VCL,1.0028870079062908e-148,TSHZ2,1.2929473875189622e-11,ADI1,9.675203548301766e-44,TUBA1B,1.2150972553232334e-19,SUCO,2.7066569762804505e-42,FSTL1,2.944790320876975e-40,BCL2L11,1.501966117893926e-23,AC019197.1,1.0484727544414535e-76,CDC42SE2,6.816410786647897e-33,SPINT2,6.773454006693087e-34,CDHR3,4.2871717917861864e-18,IFI6,7.270787192790369e-32,HLA-E,4.775026465333475e-30,CLPTM1L,0.0006968318710578163,S100A11,2.5076375614887856e-11,GJA4,2.1050820508676386e-26,FXYD3,5.298510796431804e-10,HMGCS2,2.265039473474714e-24,LAPTM5,1.4068000627798228e-14,TMPRSS2,1.1100021226480156e-07,CYP27A1,2.457400261556715e-11,S100A16,7.40151327327279e-10,SGK1,6.030268681414858e-11,MMP25-AS1,2.3806078096488636e-08,KLK3,2.4779454043631002e-05,CTSD,1.378714404028013e-06,EIF1,7.213394800983609e-05,KRT8,1.6821806619077298e-05,FTL,3.2444150966820077e-09,CCL3,2.9397074881018894e-10,PRSS23,1.958840038733825e-07,KRT8,4.2600265167157495e-10,FLT1,0.0003866855834754163,MT1E,0.04141345183902422,RPL27,5.193684627101471e-05,AREG,5.4152111277830625e-05,MPC2,3.9299317708394225e-06,ABHD2,5.8322789186417484e-05,FGL2,1.0831817508425986e-07,LGALS1,2.4112479488219155e-05
72,TSC22D1,0.0,CACYBP,0.0,PTPN22,0.0,IFNG,0.0,RPL24,0.0,H2AFJ,0.0,CRNDE,0.0,PSAP,0.0,C1QB,0.0,MYH11,0.0,SPARCL1,0.0,ZEB1,0.0,GADD45B,7.514910075203783e-15,TAF7,3.5590613334191464e-153,COTL1,4.208562411647038e-171,SQSTM1,2.986122094263025e-280,COL3A1,0.0,SMIM25,1.75282507522503e-296,IL2RG,1.1732858928221505e-127,USP15,2.190543023092575e-182,DMXL1,3.541643168465432e-180,KLRK1,3.1305732572537433e-149,CELF2,3.478013640691888e-12,DCXR,1.888645580512891e-169,RPL41,0.0064715381754523685,RPS3,8.183835875549214e-137,CTSS,3.605109489237237e-20,RPL29,3.5552580437561906e-16,PPP1R15A,4.103732323162415e-20,FHL2,1.6212812214847794e-147,NDRG1,2.1528434006273715e-11,PPIB,1.191095525853992e-43,RPS2,1.2247259013297394e-19,PGRMC1,4.8484117091468827e-42,GFRA3,6.334712719427681e-40,S100A10,2.5312539959263247e-23,POLR1D,1.9434118067594825e-76,SAMSN1,8.035116840350803e-33,GOLM1,7.976300077300156e-34,C1orf194,5.918880650910561e-18,TMSB15A,1.0183110953699839e-31,MYH10,1.0911807552378673e-29,TNFRSF13B,0.0007395589928034722,CLDN5,2.7724470076723513e-11,CAV1,2.796143839371861e-26,CRIP1,5.371243132628249e-10,TSTD1,2.4771118759592027e-24,ARPC3,1.6075290918113674e-14,IL6,1.2918229631266754e-07,TMSB10,3.0015551497284564e-11,IL32,8.384427030828117e-10,OLR1,6.261282870099923e-11,UAP1,3.219405553294586e-08,ENO3,2.8365748131789026e-05,HLA-DRB1,1.5578029487283298e-06,KLK2,7.29368844636921e-05,MYDGF,1.810098828150376e-05,CYBB,3.351883149759756e-09,KLK3,3.2946356038042936e-10,IGFBP5,1.9935346591512375e-07,PPIB,4.289387132308807e-10,SPRY1,0.0004156463909518465,CSRP3,0.04172615680351197,RPL8,5.223707461480528e-05,DSP,5.677417306075337e-05,SSR4,3.987789439420579e-06,AC026979.2,6.677704574262522e-05,RPS13,1.1125919911492936e-07,FCER1G,2.6134311646299232e-05
73,LEPR,0.0,CORO1A,0.0,HLA-B,0.0,HLA-F,0.0,RPL5,0.0,SCARB2,0.0,C9orf16,0.0,SGK1,0.0,CKB,0.0,GUCY1B1,0.0,RERGL,0.0,MEIS2,0.0,TFF3,9.264533509780746e-15,TNFAIP3,3.9492634899183147e-150,PCED1B-AS1,1.925538806708924e-169,NFKB1,4.865607444913973e-279,CFD,0.0,GSTO1,1.459931121499395e-293,CD37,2.778697254756926e-124,FOXP3,4.4809750762573177e-178,SEC11C,1.546480262042657e-176,IQGAP2,5.4237985226423515e-148,HNRNPU,4.832522298932713e-12,BNIP3,2.2278581055279213e-167,IL7R,0.006864743656485202,IGHM,1.1837891495619965e-132,APOE,3.9674811562052515e-20,RPS15,4.043029290794213e-16,HSPD1,5.649533907930464e-20,ITM2B,8.211908408786488e-147,RASAL2,2.2583421730886102e-11,EPCAM,1.2534548925168933e-43,RPL19,1.9508726967121047e-19,DBI,8.148283574836511e-42,TTYH1,1.0783051387314643e-39,HLA-DMB,2.798171417170119e-23,RPL41,1.9736915409882663e-76,NR3C1,1.2318978903468907e-32,SELENOP,1.0916541482654872e-33,FARP1,7.1668119422992e-18,GABARAP,2.104465066084294e-31,SELENOP,2.1403237670841967e-29,IGLC2,0.0008066505367574574,UPP1,4.859776901908268e-11,COL3A1,3.091288152390088e-26,RGS2,5.495715038310996e-10,HEBP2,2.7893259352607654e-24,VIM,1.6723110351618595e-14,RGS2,1.5626171643564244e-07,TFRC,3.3440025021473704e-11,SAMD9,9.637222829686132e-10,CST3,6.3950504119531e-11,HLA-DQA1,3.405794900035584e-08,PALMD,2.9591189969203893e-05,KLF5,1.8078298830191143e-06,TCF21,7.689363270013417e-05,LRRC26,1.8690288753013147e-05,STEAP4,3.476973895318115e-09,TSPAN1,3.597290736588355e-10,TRPM4,2.1575961299703998e-07,SPDEF,4.987941031282273e-10,A2M,0.00042059163208764915,KLHL41,0.04242505069469967,RPL35A,5.459690368576653e-05,HSPD1,6.363345499548181e-05,GNMT,4.0562170065228e-06,CST3,7.118043566920401e-05,RPL37,1.24953123153631e-07,MYH11,2.887732835622819e-05
74,KDR,0.0,GPR171,0.0,CD69,0.0,STK17A,0.0,TRIB1,0.0,TMEM141,0.0,WNT5B,0.0,DSE,0.0,C11orf96,0.0,ITGB1,0.0,ZFHX3,0.0,PLVAP,0.0,KRT14,1.1902496692563917e-14,MYBL1,2.617400293607408e-147,LIME1,3.667691480756295e-164,CTNNBL1,6.623359131332801e-279,VIM,0.0,CD83,6.646322174056131e-288,CELF2,8.159031409580661e-124,IL7R,3.936377529174526e-177,ATF3,4.685251894148945e-174,PLAAT4,2.3378814491117448e-147,MACF1,6.329664357912945e-12,MPC2,7.154095912860043e-162,FOS,0.007382481752442119,CD48,1.870720465561364e-132,KLK2,4.7270340542963295e-20,CD24,4.49449772319927e-16,HSPA8,1.591699574748174e-19,TGIF1,1.112784793174966e-145,PLEKHG1,2.2708724651385008e-11,GADD45B,1.3226910596340842e-43,BRI3,2.6266492757859056e-19,CLDN2,8.319607188319819e-42,CNN3,1.2911050389034464e-39,CPNE3,3.7988619663948925e-23,SPINT1,3.879630070995554e-76,PDE4B,3.9034935818307117e-32,NDUFA3,6.226589471896821e-33,FXYD3,7.780910045141397e-18,CENPX,2.2227581808189106e-31,CALCRL,2.656328368743943e-29,TXNDC15,0.0008179367894459898,TWISTNB,5.194332600840327e-11,BTNL9,4.8411836648551036e-26,APLP2,1.0758149745935763e-09,ABHD2,2.806676587962929e-24,CFL1,1.9879412901789987e-14,RHOB,1.7633762626149198e-07,H2AFJ,4.959048071690782e-11,CXCL17,1.1637372162050018e-09,CD83,8.309780356571665e-11,MAL2,4.157641951355299e-08,CYCS,5.067529863915063e-05,TNFAIP6,2.5110565171796338e-06,CLEC11A,7.792376932075197e-05,STEAP1,2.0488133696312357e-05,PDIA4,4.585417300051628e-09,IL4I1,3.6916990570875024e-10,PRDX4,2.4490553590218807e-07,PLPP5,4.993874361718499e-10,CD68,0.00044342202016884116,CCN1,0.04330709635672705,KLK2,5.760208184114881e-05,CFD,6.877083531511338e-05,CALR,4.333623413286355e-06,PTTG1,7.238881332919483e-05,RPL39,1.324816645479716e-07,RAMP1,3.10201244414687e-05
75,EMP1,0.0,LAPTM5,0.0,CCNH,0.0,GIMAP7,0.0,RPS24,0.0,GLMP,0.0,F11R,0.0,CXCL8,0.0,HLA-DQA1,0.0,EBF1,0.0,CAVIN1,0.0,HLA-DRB1,0.0,TNFRSF12A,2.4076916015222008e-14,DNAJA1,1.278019723158107e-146,GMFG,1.0056238099493458e-163,AREG,1.4009862740430412e-275,EID1,0.0,MS4A7,1.4937538341639445e-287,PRF1,2.4114585123127962e-122,GBP2,5.3752528675405055e-177,FAM3B,4.212127529055123e-171,RIPOR2,2.180026317326946e-140,TLE4,7.491880285088127e-12,TMSB15A,1.0720427194809915e-158,EIF1,0.009874714159142864,FCMR,3.57414391056455e-132,SGK1,4.9495682615756396e-20,TRGC1,1.5024070276526992e-15,FCGR2A,3.770148596495788e-19,SPINT2,8.929548503565057e-145,LMCD1,2.7434435836036738e-11,GOLM1,4.96937410375829e-43,GSTP1,3.0016192161365133e-19,PNMT,9.089352267643475e-42,RDX,7.972128309820395e-39,INSIG1,3.8202124952326227e-23,LUZP2,4.299512095284735e-76,GZMB,4.0812611559640206e-32,PDLIM5,2.1449009418218054e-32,MS4A8,7.960373747357179e-18,TMED3,4.46491014087658e-31,COLEC12,5.104572482191684e-29,ST6GAL1,0.0008466082792302666,SPP1,6.821911655454414e-11,PCDH17,5.007564372022364e-26,SSR4,1.0888321909517456e-09,PIFO,3.667383570463338e-24,BCL2A1,2.0797042256428265e-14,SOX4,1.9031312894755165e-07,LPL,5.753598623305461e-11,CRABP2,1.3805690362576978e-09,BAG3,8.344902864503147e-11,NCOA7,4.192531458849254e-08,PTGES3,6.112852578230948e-05,ABL2,2.883276428041248e-06,ZFP36,7.809163020137512e-05,TMBIM6,2.393215444070594e-05,CALM2,5.100435558977934e-09,CALR,8.235210204535675e-10,YWHAQ,2.563428124252547e-07,SMS,5.140443486834664e-10,GNG11,0.0004562463738817626,EGFL6,0.04690349992223183,AMD1,6.364575322892595e-05,SOD2,7.538215663596622e-05,SARAF,4.3757715807679975e-06,DCXR,7.389114847096582e-05,NPY,1.5245338694379968e-07,KLHL23,3.208561430590584e-05
76,MEF2C,0.0,RPL13A,0.0,B2M,0.0,MYL12A,0.0,AQP3,0.0,PPIB,0.0,CD47,0.0,CD83,0.0,KLK4,0.0,CCDC80,0.0,PPP1R12B,0.0,F8,0.0,RPS6,7.680141234361717e-14,HCST,4.999318117480422e-145,RGS2,5.2096944834805797e-163,SDCBP,3.4372059294419073e-273,CTSK,0.0,COTL1,1.4084177242540337e-286,STK4,2.579642261229235e-119,STK4,5.824000772600115e-177,BASP1,2.8797518974603077e-170,APOBEC3G,5.199888711069032e-137,CCNH,8.741710491013648e-12,TMC5,1.9856334831538695e-158,RLN1,0.020305704179340883,CACYBP,1.807810228846015e-130,CYBA,6.22788516822996e-20,AES,2.246559507387988e-15,JUN,6.318284211799462e-19,IRF6,3.445260016588922e-142,WWTR1,3.176422149070714e-11,CKB,7.385843825293371e-43,ARPC2,3.1386534537655867e-19,SPINT2,1.0098260759871793e-41,FBLN2,1.9902426735603147e-38,HSPA8,5.620598395720265e-23,PPP1R1B,6.036772563412076e-76,GZMA,1.6234286871345144e-31,ZG16B,3.777220952158808e-32,NEK5,9.591283828595746e-18,RASD1,5.343613549950663e-31,PKHD1L1,8.444977109175457e-29,SEPT7,0.0010025243489317007,A2M,1.0975149697014902e-10,CAMK2N1,5.498597874853772e-26,PDIA3,1.5674532840383062e-09,LYPLA1,3.869583166572132e-24,MT1X,2.4045182492112267e-14,RPL36,2.007804562831599e-07,GALNT7,7.010828260949724e-11,TSPAN1,1.4706946129126505e-09,ADM,1.0368432700973261e-10,GPX4,4.195708773341712e-08,CCL2,6.163838522873234e-05,FCER1G,3.2002014869144974e-06,COL6A2,7.856234400158382e-05,AP001816.1,2.7178563502594202e-05,GLUL,7.287717531485166e-09,LGALS1,9.123199971124468e-10,NUDT4,4.163424855002252e-07,ANKRD37,5.218769536218177e-10,HLA-DQB1,0.0004696151310067056,SPARCL1,0.04729137794249706,ACPP,6.396182982790772e-05,CYSTM1,7.95920374433335e-05,SPOCK1,4.54762215701391e-06,DST,0.00010160999892783733,CD1E,1.5622669023340776e-07,SMS,3.2919792538203706e-05
